Question,Answer
What is AI?,AI stands for Artificial Intelligence.
What is Machine Learning?,Machine Learning is a subset of AI that enables systems to learn from data.
What is Python?,Python is a popular programming language used for web development data science AI and automation.
What is Streamlit?,Streamlit is a Python framework used to build interactive web applications.
What is Horizon TechX?,Horizon TechX is an internship program that provides practical learning through real-world projects.
Who developed Python?,Python was created by Guido van Rossum.
What is GitHub?,GitHub is a platform used to host and manage Git repositories.
What is Power BI?,Power BI is a business intelligence tool used for creating interactive dashboards.
What is Pandas?,Pandas is a Python library used for data manipulation and analysis.
What is NumPy?,NumPy is a Python library used for numerical computing.
